event_title,speaker,category,description ,venue
SXSW 2024,Tim Berners-Lee,Art/Culture,"A global event focused on Technology trends, challenges, and innovations.","Marina Bay Sands, Singapore"
TEDx 2024,Mark Zuckerberg,Fintech/Technology,"A global event focused on Technology trends, challenges, and innovations.","Sydney Opera House, Australia"
Open Source Summit 2024,Tim Berners-Lee,Sports/Entertainment,"A global event focused on Health trends, challenges, and innovations.","Las Vegas Convention Center, USA"
eCommerce Expo 2024,Larry Page,Robotics/Technology,"A global event focused on Startup trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
Tokyo Game Show 2024,Andy Jassy,Literature/Global,"A global event focused on Cybersecurity trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Open Source Summit 2024,Reed Hastings,Film/Entertainment,"A global event focused on Art trends, challenges, and innovations.","Messe Basel, Switzerland"
Art Basel 2024,Larry Page,Robotics/Technology,"A global event focused on Sports trends, challenges, and innovations.","Marina Bay Sands, Singapore"
Google I/O 2024,Cristiano Amon,Sports/Entertainment,"A global event focused on Cybersecurity trends, challenges, and innovations.","Olympia, London, UK"
Web Summit 2024,Marc Benioff,AI/Technology,"A global event focused on Sports trends, challenges, and innovations.","Las Vegas Convention Center, USA"
RSA Conference 2024,Sergey Brin,AI/Technology,"A global event focused on Art trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
DEF CON 2024,Jack Dorsey,Health/Medical,"A global event focused on Economic trends, challenges, and innovations.","Messe Basel, Switzerland"
GITEX 2024,Satya Nadella,Film/Entertainment,"A global event focused on Startup trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
CES Asia 2024,Marissa Mayer,Technology/Innovation,"A global event focused on Economic trends, challenges, and innovations.","Marina Bay Sands, Singapore"
Python Conference 2024,Elon Musk,Fintech/Technology,"A global event focused on Film trends, challenges, and innovations.","UN Headquarters, New York, USA"
GitHub Universe 2024,Larry Page,Environmental/Sustainability,"A global event focused on Art trends, challenges, and innovations.","Palais Brongniart, Paris, France"
Digital Health Summit 2024,Andy Jassy,Art/Culture,"A global event focused on Fintech trends, challenges, and innovations.","Tokyo Big Sight, Japan"
SaaStr Annual 2024,Susan Wojcicki,Fashion/Global,"A global event focused on Environmental trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
RSA Conference 2024,Sundar Pichai,Music/Entertainment,"A global event focused on Literature trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
Digital Health Summit 2024,Meg Whitman,Health/Medical,"A global event focused on Art trends, challenges, and innovations.","Palais Brongniart, Paris, France"
Tokyo Game Show 2024,Andy Jassy,Space/Technology,"A global event focused on Space trends, challenges, and innovations.","Las Vegas Convention Center, USA"
CES Asia 2024,Edward Snowden,Economic/Global,"A global event focused on Economic trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
World Economic Forum 2024,Larry Page,Technology/Innovation,"A global event focused on Art trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
European Space Agency Conference 2024,Jehan Ara,AI/Technology,"A global event focused on Gaming trends, challenges, and innovations.","Paris Las Vegas, USA"
TechCrunch Disrupt 2024,Bruce Schneier,Literature/Global,"A global event focused on Fintech trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
The Next Web 2024,Larry Page,Music/Entertainment,"A global event focused on Film trends, challenges, and innovations.","Davos, Switzerland"
Robotics Expo 2024,Edward Snowden,Robotics/Technology,"A global event focused on Economic trends, challenges, and innovations.","Austin Convention Center, USA"
Black Hat 2024,Jack Dorsey,Literature/Global,"A global event focused on Robotics trends, challenges, and innovations.","ESA HQ, Paris, France"
CES Asia 2024,Mark Zuckerberg,Fashion/Global,"A global event focused on Robotics trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Tokyo Game Show 2024,Elon Musk,Sports/Entertainment,"A global event focused on Technology trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Formula 1 Grand Prix 2024,Elon Musk,Fashion/Global,"A global event focused on Economic trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
Fintech Asia 2024,Jehan Ara,AI/Technology,"A global event focused on Film trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
RSA Conference 2024,Marissa Mayer,Space/Technology,"A global event focused on Sports trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
AI Expo Global 2024,Marissa Mayer,Economic/Global,"A global event focused on Fashion trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
SaaStr Annual 2024,Elon Musk,Literature/Global,"A global event focused on Art trends, challenges, and innovations.","Tokyo Big Sight, Japan"
GITEX 2024,Larry Page,Health/Medical,"A global event focused on AI trends, challenges, and innovations.","Las Vegas Convention Center, USA"
SXSW 2024,Sundar Pichai,Fashion/Global,"A global event focused on Economic trends, challenges, and innovations.","Palais Brongniart, Paris, France"
Mobile World Congress 2024,Marissa Mayer,Technology/Innovation,"A global event focused on Film trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
Tokyo Game Show 2024,Jehan Ara,Gaming/Entertainment,"A global event focused on Sports trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Climate Change Summit 2024,Sheryl Sandberg,Health/Medical,"A global event focused on Literature trends, challenges, and innovations.","ESA HQ, Paris, France"
European Space Agency Conference 2024,Bill Gates,Cybersecurity/Hacking,"A global event focused on Fashion trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Tokyo Game Show 2024,Nat Friedman,Art/Culture,"A global event focused on Art trends, challenges, and innovations.","Marina Bay Sands, Singapore"
Google I/O 2024,Susan Wojcicki,Economic/Global,"A global event focused on Startup trends, challenges, and innovations.","Olympia, London, UK"
SXSW Music Festival 2024,Elon Musk,Environmental/Sustainability,"A global event focused on Robotics trends, challenges, and innovations.","Messe Basel, Switzerland"
Mobile World Congress 2024,Andy Jassy,Robotics/Technology,"A global event focused on AI trends, challenges, and innovations.","Paris Las Vegas, USA"
Digital Health Summit 2024,Reed Hastings,Health/Medical,"A global event focused on Art trends, challenges, and innovations.","Paris Las Vegas, USA"
Open Source Summit 2024,Cristiano Amon,Cybersecurity/Hacking,"A global event focused on Economic trends, challenges, and innovations.","Las Vegas Convention Center, USA"
eCommerce Expo 2024,Mark Zuckerberg,Fintech/Technology,"A global event focused on Film trends, challenges, and innovations.","Palais Brongniart, Paris, France"
Adobe MAX 2024,Sergey Brin,Startup/Technology,"A global event focused on Fintech trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
RSA Conference 2024,Jack Dorsey,Fashion/Global,"A global event focused on Economic trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
AI Expo Global 2024,Sheryl Sandberg,Economic/Global,"A global event focused on AI trends, challenges, and innovations.","Davos, Switzerland"
GITEX 2024,Meg Whitman,Gaming/Entertainment,"A global event focused on Gaming trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
CES 2024,Cristiano Amon,AI/Technology,"A global event focused on Environmental trends, challenges, and innovations.","Olympia, London, UK"
SXSW 2024,Larry Page,AI/Technology,"A global event focused on Film trends, challenges, and innovations.","Sydney Opera House, Australia"
SXSW Music Festival 2024,Sheryl Sandberg,Robotics/Technology,"A global event focused on Fintech trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Adobe MAX 2024,Sheryl Sandberg,Robotics/Technology,"A global event focused on Sports trends, challenges, and innovations.","Marina Bay Sands, Singapore"
CES Asia 2024,Elon Musk,Cybersecurity/Hacking,"A global event focused on Economic trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
Formula 1 Grand Prix 2024,Marc Benioff,AI/Technology,"A global event focused on AI trends, challenges, and innovations.","UN Headquarters, New York, USA"
DEF CON 2024,Edward Snowden,Cybersecurity/Hacking,"A global event focused on Gaming trends, challenges, and innovations.","Paris Las Vegas, USA"
AI Expo Global 2024,Greta Thunberg,Cybersecurity/Hacking,"A global event focused on Health trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
Machine Learning Summit 2024,Larry Page,Cybersecurity/Hacking,"A global event focused on Health trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
Paris Fashion Week 2024,Sergey Brin,Startup/Technology,"A global event focused on Startup trends, challenges, and innovations.","Messe Basel, Switzerland"
Re:Mars 2024,Elon Musk,Gaming/Entertainment,"A global event focused on Film trends, challenges, and innovations.","Messe Basel, Switzerland"
Adobe MAX 2024,Edward Snowden,Technology/Innovation,"A global event focused on Environmental trends, challenges, and innovations.","Las Vegas Convention Center, USA"
SXSW 2024,Tim Berners-Lee,Fashion/Global,"A global event focused on Fashion trends, challenges, and innovations.","Olympia, London, UK"
Mobile World Congress 2024,Satya Nadella,Fintech/Technology,"A global event focused on Fashion trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
London Book Fair 2024,Sheryl Sandberg,Economic/Global,"A global event focused on Art trends, challenges, and innovations.","ESA HQ, Paris, France"
Black Hat 2024,Ginni Rometty,Sports/Entertainment,"A global event focused on Health trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
eCommerce Expo 2024,Andy Jassy,Fintech/Technology,"A global event focused on Technology trends, challenges, and innovations.","Las Vegas Convention Center, USA"
eCommerce Expo 2024,Marissa Mayer,Film/Entertainment,"A global event focused on Fintech trends, challenges, and innovations.","UN Headquarters, New York, USA"
Robotics Expo 2024,Meg Whitman,Technology/Innovation,"A global event focused on Art trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Digital Health Summit 2024,Cristiano Amon,Space/Technology,"A global event focused on Robotics trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
AWS re:Invent 2024,Marc Benioff,Film/Entertainment,"A global event focused on Art trends, challenges, and innovations.","Tokyo Big Sight, Japan"
Cannes Film Festival 2024,Sundar Pichai,Film/Entertainment,"A global event focused on Art trends, challenges, and innovations.","Paris Las Vegas, USA"
eCommerce Expo 2024,Sundar Pichai,Fashion/Global,"A global event focused on Gaming trends, challenges, and innovations.","Davos, Switzerland"
Machine Learning Summit 2024,Andy Jassy,Gaming/Entertainment,"A global event focused on AI trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Robotics Expo 2024,Edward Snowden,Music/Entertainment,"A global event focused on Health trends, challenges, and innovations.","UN Headquarters, New York, USA"
Cisco Live 2024,Sheryl Sandberg,Environmental/Sustainability,"A global event focused on Art trends, challenges, and innovations.","Marina Bay Sands, Singapore"
CES Asia 2024,Larry Page,Literature/Global,"A global event focused on Environmental trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
World Robotics Championship 2024,Sundar Pichai,Startup/Technology,"A global event focused on Startup trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
Tokyo Game Show 2024,Susan Wojcicki,Film/Entertainment,"A global event focused on Gaming trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
Digital Health Summit 2024,Reed Hastings,Cybersecurity/Hacking,"A global event focused on Art trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Climate Change Summit 2024,Cristiano Amon,Music/Entertainment,"A global event focused on Cybersecurity trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
